pert_type,codellama_proactive_pm1_mean,codellama_proactive_pm1_n_tasks,mbpp_codellama_non-lora-top-2_mean,mbpp_codellama_non-lora-top-2_n_tasks
A1,0.6709090909090909,11,0.6818181818181818,11
A2,0.8333333333333334,6,0.49833333333333335,6
A3,0.8625,8,0.48,8
C1,0.7244444444444444,9,0.7722222222222223,9
C2,0.7106666666666667,15,0.716,15
C3,0.5815384615384616,13,0.6353846153846153,13
D1,0.86,9,0.8844444444444445,9
D2,0.696,10,0.653,10
D3,0.5555555555555556,9,0.5622222222222223,9
D4,0.943076923076923,13,0.916923076923077,13
E1,0.8115789473684211,19,0.7978947368421053,19
E2,0.9625,8,0.9133333333333334,6
E3,0.8983333333333333,12,0.9783333333333334,12
E4,0.7338461538461539,13,0.7753846153846153,13
E5,0.7916666666666666,12,0.815,12
E6,0.9099999999999999,10,0.9107692307692308,13
P1,0.8388888888888889,18,0.7711111111111112,18
P2,0.9450000000000001,4,0.8539999999999999,20
S1,0.8766666666666666,6,0.8633333333333333,6
S2,0.8723076923076923,13,0.86,13
