task_id,condition,n_samples,avg_pass@1,avg_pass@5,avg_pass@10,avg_pass_ratio
69,proactive,1,0.0,0.0,0.0,0.0
69,proactive_original,1,0.0,0.0,0.0,0.0
99,proactive,1,0.2,0.78,1.0,0.2
99,proactive_original,1,0.7,1.0,1.0,0.7
165,proactive,1,0.9,1.0,1.0,0.9
165,proactive_original,1,1.0,1.0,1.0,1.0
569,proactive,1,0.0,0.0,0.0,0.0
569,proactive_original,1,0.4,0.98,1.0,0.4
637,proactive,1,0.1,0.5,1.0,0.1
637,proactive_original,1,1.0,1.0,1.0,1.0
746,proactive,1,0.2,0.78,1.0,0.2
746,proactive_original,1,0.3,0.92,1.0,0.3
750,proactive,1,0.0,0.0,0.0,0.0
750,proactive_original,1,0.2,0.78,1.0,0.2
780,proactive,1,0.5,1.0,1.0,0.5
780,proactive_original,1,0.4,0.98,1.0,0.4
801,proactive,1,0.6,1.0,1.0,0.6
801,proactive_original,1,0.5,1.0,1.0,0.5
