task_id,condition,n_samples,avg_pass@1,avg_pass@5,avg_pass@10,avg_pass_ratio
69,proactive,1,0.0,0.0,0.0,0.0
69,proactive_original,1,0.1,0.5,1.0,0.1
97,proactive,1,0.9,1.0,1.0,0.9
97,proactive_original,1,0.9,1.0,1.0,0.9
111,proactive,1,0.6,1.0,1.0,0.6
111,proactive_original,1,0.3,0.92,1.0,0.3
270,proactive,1,0.2,0.78,1.0,0.2
270,proactive_original,1,0.8,1.0,1.0,0.8
274,proactive,1,0.6,1.0,1.0,0.6
274,proactive_original,1,0.4,0.98,1.0,0.4
446,proactive,1,0.9,1.0,1.0,0.9
446,proactive_original,1,0.9,1.0,1.0,0.9
453,proactive,1,0.1,0.5,1.0,0.1
453,proactive_original,1,0.2,0.78,1.0,0.2
471,proactive,1,0.8,1.0,1.0,0.8
471,proactive_original,1,0.9,1.0,1.0,0.9
555,proactive,1,0.8,1.0,1.0,0.8
555,proactive_original,1,0.7,1.0,1.0,0.7
556,proactive,1,1.0,1.0,1.0,1.0
556,proactive_original,1,0.7,1.0,1.0,0.7
593,proactive,1,0.0,0.0,0.0,0.0
593,proactive_original,1,0.6,1.0,1.0,0.6
596,proactive,1,0.0,0.0,0.0,0.0
596,proactive_original,1,1.0,1.0,1.0,1.0
629,proactive,1,0.9,1.0,1.0,0.9
629,proactive_original,1,1.0,1.0,1.0,1.0
724,proactive,1,0.3,0.92,1.0,0.3
724,proactive_original,1,0.3,0.92,1.0,0.3
737,proactive,1,0.7,1.0,1.0,0.7
737,proactive_original,1,0.8,1.0,1.0,0.8
746,proactive,1,0.4,0.98,1.0,0.4
746,proactive_original,1,0.6,1.0,1.0,0.6
780,proactive,1,0.4,0.98,1.0,0.4
780,proactive_original,1,0.4,0.98,1.0,0.4
783,proactive,1,0.7,1.0,1.0,0.7
783,proactive_original,1,0.5,1.0,1.0,0.5
788,proactive,1,1.0,1.0,1.0,1.0
788,proactive_original,1,1.0,1.0,1.0,1.0
