task_id,condition,n_samples,avg_pass@1,avg_pass@5,avg_pass@10,avg_pass_ratio
108,proactive,1,0.6,1.0,1.0,0.6
108,proactive_original,1,0.4,0.98,1.0,0.4
111,proactive,1,0.2,0.78,1.0,0.2
111,proactive_original,1,0.4,0.98,1.0,0.4
162,proactive,1,0.1,0.5,1.0,0.1
162,proactive_original,1,0.8,1.0,1.0,0.8
251,proactive,1,0.5,1.0,1.0,0.5
251,proactive_original,1,0.3,0.92,1.0,0.3
428,proactive,1,1.0,1.0,1.0,1.0
428,proactive_original,1,1.0,1.0,1.0,1.0
429,proactive,1,1.0,1.0,1.0,1.0
429,proactive_original,1,1.0,1.0,1.0,1.0
593,proactive,1,0.5,1.0,1.0,0.5
593,proactive_original,1,0.5,1.0,1.0,0.5
607,proactive,1,1.0,1.0,1.0,1.0
607,proactive_original,1,1.0,1.0,1.0,1.0
724,proactive,1,0.2,0.78,1.0,0.2
724,proactive_original,1,0.4,0.98,1.0,0.4
737,proactive,1,1.0,1.0,1.0,1.0
737,proactive_original,1,1.0,1.0,1.0,1.0
746,proactive,1,0.2,0.78,1.0,0.2
746,proactive_original,1,0.3,0.92,1.0,0.3
775,proactive,1,0.7,1.0,1.0,0.7
775,proactive_original,1,0.8,1.0,1.0,0.8
801,proactive,1,0.6,1.0,1.0,0.6
801,proactive_original,1,0.4,0.98,1.0,0.4
