task_id,condition,n_samples,avg_pass@1,avg_pass@5,avg_pass@10,avg_pass_ratio
68,proactive,1,0.3,0.92,1.0,0.3
68,proactive_original,1,0.7,1.0,1.0,0.7
69,proactive,1,0.0,0.0,0.0,0.0
69,proactive_original,1,0.3,0.92,1.0,0.3
111,proactive,1,0.4,0.98,1.0,0.4
111,proactive_original,1,0.3,0.92,1.0,0.3
165,proactive,1,0.3,0.92,1.0,0.3
165,proactive_original,1,1.0,1.0,1.0,1.0
278,proactive,1,0.0,0.0,0.0,0.0
278,proactive_original,1,0.1,0.5,1.0,0.1
406,proactive,1,0.3,0.92,1.0,0.3
406,proactive_original,1,0.8,1.0,1.0,0.8
439,proactive,1,1.0,1.0,1.0,1.0
439,proactive_original,1,0.8,1.0,1.0,0.8
453,proactive,1,0.5,1.0,1.0,0.5
453,proactive_original,1,0.3,0.92,1.0,0.3
724,proactive,1,0.2,0.78,1.0,0.2
724,proactive_original,1,0.6,1.0,1.0,0.6
746,proactive,1,0.4,0.98,1.0,0.4
746,proactive_original,1,0.6,1.0,1.0,0.6
750,proactive,1,0.0,0.0,0.0,0.0
750,proactive_original,1,0.3,0.92,1.0,0.3
