task_id,condition,n_samples,avg_pass@1,avg_pass@5,avg_pass@10,avg_pass_ratio
84,proactive,1,0.8,1.0,1.0,0.8
84,proactive_original,1,0.6,1.0,1.0,0.6
252,proactive,1,0.5,1.0,1.0,0.5
252,proactive_original,1,1.0,1.0,1.0,1.0
397,proactive,1,0.7,1.0,1.0,0.7
397,proactive_original,1,0.3,0.92,1.0,0.3
460,proactive,1,0.8,1.0,1.0,0.8
460,proactive_original,1,1.0,1.0,1.0,1.0
470,proactive,1,0.5,1.0,1.0,0.5
470,proactive_original,1,1.0,1.0,1.0,1.0
555,proactive,1,0.4,0.98,1.0,0.4
555,proactive_original,1,0.7,1.0,1.0,0.7
585,proactive,1,0.8,1.0,1.0,0.8
585,proactive_original,1,0.8,1.0,1.0,0.8
593,proactive,1,0.2,0.78,1.0,0.2
593,proactive_original,1,0.3,0.92,1.0,0.3
724,proactive,1,0.7,1.0,1.0,0.7
724,proactive_original,1,0.2,0.78,1.0,0.2
737,proactive,1,0.9,1.0,1.0,0.9
737,proactive_original,1,0.9,1.0,1.0,0.9
764,proactive,1,0.4,0.98,1.0,0.4
764,proactive_original,1,0.2,0.78,1.0,0.2
783,proactive,1,0.9,1.0,1.0,0.9
783,proactive_original,1,0.6,1.0,1.0,0.6
