task_id,condition,n_samples,avg_pass@1,avg_pass@5,avg_pass@10,avg_pass_ratio
130,proactive,2,0.0,0.0,0.0,0.0
130,proactive_original,2,0.95,1.0,1.0,0.95
165,proactive,2,0.0,0.0,0.0,0.0
165,proactive_original,2,0.95,1.0,1.0,0.95
251,proactive,2,0.15,0.64,1.0,0.15
251,proactive_original,2,0.35,0.95,1.0,0.35
278,proactive,2,0.0,0.0,0.0,0.0
278,proactive_original,2,0.25,0.85,1.0,0.25
406,proactive,2,0.35,0.95,1.0,0.35
406,proactive_original,2,0.75,1.0,1.0,0.75
428,proactive,2,0.55,0.96,1.0,0.55
428,proactive_original,2,0.85,1.0,1.0,0.85
724,proactive,2,0.6,0.99,1.0,0.6
724,proactive_original,2,0.5,0.96,1.0,0.5
741,proactive,2,0.45,0.99,1.0,0.45
741,proactive_original,1,0.5,1.0,1.0,0.5
788,proactive,1,0.8,1.0,1.0,0.8
788,proactive_original,1,1.0,1.0,1.0,1.0
791,proactive,1,1.0,1.0,1.0,1.0
791,proactive_original,1,0.8,1.0,1.0,0.8
