task_id,condition,n_samples,avg_pass@1,avg_pass@5,avg_pass@10,avg_pass_ratio
84,proactive,1,0.0,0.0,0.0,0.0
84,proactive_original,1,0.8,1.0,1.0,0.8
111,proactive,1,0.6,1.0,1.0,0.6
111,proactive_original,1,0.5,1.0,1.0,0.5
249,proactive,1,1.0,1.0,1.0,1.0
249,proactive_original,1,0.7,1.0,1.0,0.7
270,proactive,1,0.0,0.0,0.0,0.0
270,proactive_original,1,0.5,1.0,1.0,0.5
389,proactive,1,0.2,0.78,1.0,0.2
389,proactive_original,1,0.6,1.0,1.0,0.6
428,proactive,1,1.0,1.0,1.0,1.0
428,proactive_original,1,1.0,1.0,1.0,1.0
453,proactive,1,0.0,0.0,0.0,0.0
453,proactive_original,1,0.2,0.78,1.0,0.2
556,proactive,1,0.0,0.0,0.0,0.0
556,proactive_original,1,0.9,1.0,1.0,0.9
598,proactive,1,0.7,1.0,1.0,0.7
598,proactive_original,1,0.6,1.0,1.0,0.6
724,proactive,1,0.3,0.92,1.0,0.3
724,proactive_original,1,0.6,1.0,1.0,0.6
746,proactive,1,0.6,1.0,1.0,0.6
746,proactive_original,1,0.3,0.92,1.0,0.3
750,proactive,1,0.2,0.78,1.0,0.2
750,proactive_original,1,0.5,1.0,1.0,0.5
780,proactive,1,0.2,0.78,1.0,0.2
780,proactive_original,1,0.4,0.98,1.0,0.4
