task_id,condition,n_samples,avg_pass@1,avg_pass@5,avg_pass@10,avg_pass_ratio
68,proactive,1,0.2,0.78,1.0,0.2
68,proactive_original,2,0.5,0.96,1.0,0.5
162,proactive,2,0.5,1.0,1.0,0.5
162,proactive_original,2,0.85,1.0,1.0,0.85
278,proactive,2,0.05,0.25,0.5,0.05
278,proactive_original,2,0.2,0.78,1.0,0.2
471,proactive,2,0.7,1.0,1.0,0.7
471,proactive_original,2,0.8,1.0,1.0,0.8
555,proactive,2,0.2,0.78,1.0,0.2
555,proactive_original,2,0.5,1.0,1.0,0.5
593,proactive,2,0.1,0.5,1.0,0.1
593,proactive_original,2,0.4,0.96,1.0,0.4
637,proactive,2,0.85,1.0,1.0,0.85
637,proactive_original,2,1.0,1.0,1.0,1.0
724,proactive,2,0.15,0.64,1.0,0.15
724,proactive_original,2,0.45,0.89,1.0,0.45
783,proactive,2,0.5,1.0,1.0,0.5
783,proactive_original,2,0.5,0.99,1.0,0.5
